order_id,date,region,product_category,product_name,units_sold,unit_price,revenue,profit,customer_segment
1001,2024-01-05,North,Electronics,Laptop Pro,12,1200,14400,4320,Enterprise
1002,2024-01-08,South,Furniture,Office Chair,34,250,8500,2550,SMB
1003,2024-01-12,East,Electronics,Wireless Mouse,120,45,5400,1620,Retail
1004,2024-01-15,West,Clothing,Winter Jacket,67,89,5963,1789,Retail
1005,2024-01-18,North,Electronics,Monitor 4K,23,450,10350,3105,Enterprise
1006,2024-01-22,South,Electronics,Laptop Pro,8,1200,9600,2880,Enterprise
1007,2024-01-25,East,Furniture,Standing Desk,15,600,9000,2700,SMB
1008,2024-01-28,West,Electronics,Wireless Mouse,200,45,9000,2700,Retail
1009,2024-02-02,North,Clothing,Winter Jacket,45,89,4005,1202,Retail
1010,2024-02-05,South,Electronics,Monitor 4K,18,450,8100,2430,Enterprise
1011,2024-02-08,East,Electronics,Laptop Pro,14,1200,16800,5040,Enterprise
1012,2024-02-12,West,Furniture,Office Chair,28,250,7000,2100,SMB
1013,2024-02-15,North,Electronics,Wireless Mouse,150,45,6750,2025,Retail
1014,2024-02-18,South,Clothing,Summer Dress,89,55,4895,1469,Retail
1015,2024-02-22,East,Electronics,Monitor 4K,20,450,9000,2700,Enterprise
1016,2024-02-25,West,Electronics,Laptop Pro,10,1200,12000,3600,Enterprise
1017,2024-03-01,North,Furniture,Standing Desk,12,600,7200,2160,SMB
1018,2024-03-05,South,Electronics,Wireless Mouse,180,45,8100,2430,Retail
1019,2024-03-08,East,Clothing,Winter Jacket,55,89,4895,1469,Retail
1020,2024-03-12,West,Electronics,Monitor 4K,25,450,11250,3375,Enterprise
1021,2024-03-15,North,Electronics,Laptop Pro,18,1200,21600,6480,Enterprise
1022,2024-03-18,South,Furniture,Office Chair,40,250,10000,3000,SMB
1023,2024-03-22,East,Electronics,Wireless Mouse,160,45,7200,2160,Retail
1024,2024-03-25,West,Clothing,Summer Dress,70,55,3850,1155,Retail
1025,2024-04-02,North,Electronics,Monitor 4K,30,450,13500,4050,Enterprise
1026,2024-04-05,South,Electronics,Laptop Pro,15,1200,18000,5400,Enterprise
1027,2024-04-08,East,Furniture,Standing Desk,20,600,12000,3600,SMB
1028,2024-04-12,West,Electronics,Wireless Mouse,220,45,9900,2970,Retail
1029,2024-04-15,North,Clothing,Winter Jacket,30,89,2670,801,Retail
1030,2024-04-18,South,Electronics,Monitor 4K,22,450,9900,2970,Enterprise
1031,2024-04-22,East,Electronics,Laptop Pro,16,1200,19200,5760,Enterprise
1032,2024-04-25,West,Furniture,Office Chair,35,250,8750,2625,SMB
1033,2024-05-02,North,Electronics,Wireless Mouse,140,45,6300,1890,Retail
1034,2024-05-05,South,Clothing,Summer Dress,95,55,5225,1568,Retail
1035,2024-05-08,East,Electronics,Monitor 4K,28,450,12600,3780,Enterprise
1036,2024-05-12,West,Electronics,Laptop Pro,20,1200,24000,7200,Enterprise
1037,2024-05-15,North,Furniture,Standing Desk,18,600,10800,3240,SMB
1038,2024-05-18,South,Electronics,Wireless Mouse,190,45,8550,2565,Retail
1039,2024-05-22,East,Clothing,Winter Jacket,60,89,5340,1602,Retail
1040,2024-05-25,West,Electronics,Monitor 4K,32,450,14400,4320,Enterprise
1041,2024-06-02,North,Electronics,Laptop Pro,22,1200,26400,7920,Enterprise
1042,2024-06-05,South,Furniture,Office Chair,45,250,11250,3375,SMB
1043,2024-06-08,East,Electronics,Wireless Mouse,170,45,7650,2295,Retail
1044,2024-06-12,West,Clothing,Summer Dress,80,55,4400,1320,Retail
1045,2024-06-15,North,Electronics,Monitor 4K,35,450,15750,4725,Enterprise
1046,2024-06-18,South,Electronics,Laptop Pro,18,1200,21600,6480,Enterprise
1047,2024-06-22,East,Furniture,Standing Desk,22,600,13200,3960,SMB
1048,2024-06-25,West,Electronics,Wireless Mouse,210,45,9450,2835,Retail
1049,2024-07-02,North,Clothing,Winter Jacket,25,89,2225,668,Retail
1050,2024-07-05,South,Electronics,Monitor 4K,26,450,11700,3510,Enterprise
1051,2024-07-08,East,Electronics,Laptop Pro,19,1200,22800,6840,Enterprise
1052,2024-07-12,West,Furniture,Office Chair,38,250,9500,2850,SMB
1053,2024-07-15,North,Electronics,Wireless Mouse,155,45,6975,2093,Retail
1054,2024-07-18,South,Clothing,Summer Dress,100,55,5500,1650,Retail
1055,2024-07-22,East,Electronics,Monitor 4K,30,450,13500,4050,Enterprise
1056,2024-07-25,West,Electronics,Laptop Pro,24,1200,28800,8640,Enterprise
1057,2024-08-02,North,Furniture,Standing Desk,20,600,12000,3600,SMB
1058,2024-08-05,South,Electronics,Wireless Mouse,200,45,9000,2700,Retail
1059,2024-08-08,East,Clothing,Winter Jacket,50,89,4450,1335,Retail
1060,2024-08-12,West,Electronics,Monitor 4K,28,450,12600,3780,Enterprise
1061,2024-08-15,North,Electronics,Laptop Pro,25,1200,30000,9000,Enterprise
1062,2024-08-18,South,Furniture,Office Chair,42,250,10500,3150,SMB
1063,2024-08-22,East,Electronics,Wireless Mouse,165,45,7425,2228,Retail
1064,2024-08-25,West,Clothing,Summer Dress,85,55,4675,1403,Retail
1065,2024-09-02,North,Electronics,Monitor 4K,38,450,17100,5130,Enterprise
1066,2024-09-05,South,Electronics,Laptop Pro,20,1200,24000,7200,Enterprise
1067,2024-09-08,East,Furniture,Standing Desk,25,600,15000,4500,SMB
1068,2024-09-12,West,Electronics,Wireless Mouse,230,45,10350,3105,Retail
1069,2024-09-15,North,Clothing,Winter Jacket,35,89,3115,935,Retail
1070,2024-09-18,South,Electronics,Monitor 4K,32,450,14400,4320,Enterprise
1071,2024-09-22,East,Electronics,Laptop Pro,22,1200,26400,7920,Enterprise
1072,2024-09-25,West,Furniture,Office Chair,48,250,12000,3600,SMB
1073,2024-10-02,North,Electronics,Wireless Mouse,145,45,6525,1958,Retail
1074,2024-10-05,South,Clothing,Summer Dress,90,55,4950,1485,Retail
1075,2024-10-08,East,Electronics,Monitor 4K,35,450,15750,4725,Enterprise
1076,2024-10-12,West,Electronics,Laptop Pro,28,1200,33600,10080,Enterprise
1077,2024-10-15,North,Furniture,Standing Desk,22,600,13200,3960,SMB
1078,2024-10-18,South,Electronics,Wireless Mouse,210,45,9450,2835,Retail
1079,2024-10-22,East,Clothing,Winter Jacket,55,89,4895,1469,Retail
1080,2024-10-25,West,Electronics,Monitor 4K,40,450,18000,5400,Enterprise
1081,2024-11-02,North,Electronics,Laptop Pro,30,1200,36000,10800,Enterprise
1082,2024-11-05,South,Furniture,Office Chair,50,250,12500,3750,SMB
1083,2024-11-08,East,Electronics,Wireless Mouse,175,45,7875,2363,Retail
1084,2024-11-12,West,Clothing,Summer Dress,75,55,4125,1238,Retail
1085,2024-11-15,North,Electronics,Monitor 4K,42,450,18900,5670,Enterprise
1086,2024-11-18,South,Electronics,Laptop Pro,25,1200,30000,9000,Enterprise
1087,2024-11-22,East,Furniture,Standing Desk,28,600,16800,5040,SMB
1088,2024-11-25,West,Electronics,Wireless Mouse,240,45,10800,3240,Retail
1089,2024-12-02,North,Clothing,Winter Jacket,70,89,6230,1869,Retail
1090,2024-12-05,South,Electronics,Monitor 4K,38,450,17100,5130,Enterprise
1091,2024-12-08,East,Electronics,Laptop Pro,28,1200,33600,10080,Enterprise
1092,2024-12-12,West,Furniture,Office Chair,55,250,13750,4125,SMB
1093,2024-12-15,North,Electronics,Wireless Mouse,160,45,7200,2160,Retail
1094,2024-12-18,South,Clothing,Summer Dress,110,55,6050,1815,Retail
1095,2024-12-22,East,Electronics,Monitor 4K,45,450,20250,6075,Enterprise
1096,2024-12-25,West,Electronics,Laptop Pro,32,1200,38400,11520,Enterprise
1097,2024-12-28,North,Furniture,Standing Desk,30,600,18000,5400,SMB
1098,2024-12-29,South,Electronics,Wireless Mouse,250,45,11250,3375,Retail
1099,2024-12-30,East,Clothing,Winter Jacket,80,89,7120,2136,Retail
1100,2024-12-31,West,Electronics,Monitor 4K,50,450,22500,6750,Enterprise
